time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-01-01 00:00,1587916,1863794,1558866,3575975,2093,73,33
2024-01-02 00:00,1600697,1863794,1560595,3575975,2153,64,33
2024-01-03 00:00,1602604,1875200,1560595,3576318,2098,63,32
2024-01-04 00:00,1604457,1887213,1560595,3579251,2129,71,31
2024-01-05 00:00,1606584,1902197,1560595,3585094,2096,68,41
2024-01-06 00:00,1609093,1918069,1560595,3585150,4654,2203,561
2024-01-07 00:00,1642793,1918069,1560595,3585150,4354,707,685
2024-01-08 00:00,1676160,1918069,1565434,3585150,3438,1898,687
2024-01-09 00:00,1679338,1945718,1565434,3593619,3422,1216,694
2024-01-10 00:00,1682593,1972947,1565434,3610809,4624,1523,690
2024-01-11 00:00,1685744,2002981,1565434,3618406,3635,2601,688
2024-01-12 00:00,1688817,2024729,1565434,3618487,5126,1418,150
2024-01-13 00:00,1691072,2056341,1565434,3618509,3041,569,38
2024-01-14 00:00,1724230,2056341,1565756,3618509,2466,920,38
2024-01-15 00:00,1751574,2056341,1571155,3618509,3365,809,131
2024-01-16 00:00,1762161,2072551,1571155,3620791,2573,1748,39
2024-01-17 00:00,1773315,2091480,1571155,3625363,2670,773,41
2024-01-18 00:00,1785398,2110499,1571155,3625442,3246,1006,121
2024-01-19 00:00,1797285,2130826,1571155,3638841,2829,958,115
2024-01-20 00:00,1806865,2145608,1571155,3654138,3340,2223,390
2024-01-21 00:00,1838393,2145608,1571544,3654138,3370,1186,35
2024-01-22 00:00,1865511,2145608,1571552,3654138,2285,1156,34
2024-01-23 00:00,1870238,2152550,1571552,3666488,3206,911,36
2024-01-24 00:00,1876200,2161281,1571552,3675260,3910,1806,36
2024-01-25 00:00,1880166,2170914,1571552,3678508,2323,3397,38
2024-01-26 00:00,1886119,2180914,1571552,3683904,1394,73,40
2024-01-27 00:00,1890217,2187926,1571552,3687584,3180,1282,154
2024-01-28 00:00,1911440,2187926,1580470,3687584,2685,1689,40
2024-01-29 00:00,1933458,2187926,1595029,3687584,2010,2334,38
2024-01-30 00:00,1940872,2196951,1595029,3691077,2463,893,123
2024-01-31 00:00,1947260,2210401,1595029,3691823,2541,2273,39
2024-02-01 00:00,1953741,2225902,1595029,3692057,2057,883,37
2024-02-02 00:00,1960731,2234611,1595029,3709385,3121,2106,123
2024-02-03 00:00,1967086,2246028,1595029,3710566,4034,2365,650
2024-02-04 00:00,1986005,2246028,1595929,3710566,2802,590,37
2024-02-05 00:00,2000037,2246028,1596979,3710566,2220,3076,37
2024-02-06 00:00,2004713,2258984,1596979,3710601,2483,1970,39
2024-02-07 00:00,2010816,2273626,1596979,3710667,2112,2015,39
2024-02-08 00:00,2019682,2284156,1596979,3724839,2718,309,35
2024-02-09 00:00,2031817,2300706,1596979,3725060,3120,2416,38
2024-02-10 00:00,2041777,2313565,1596979,3726150,4420,2328,530
2024-02-11 00:00,2062625,2313565,1598520,3726150,2411,2444,37
2024-02-12 00:00,2078032,2313565,1598571,3726150,2536,2285,129
2024-02-13 00:00,2084190,2324445,1598571,3729808,2016,2201,38
2024-02-14 00:00,2092925,2335287,1598571,3731787,2231,2092,37
2024-02-15 00:00,2098941,2345975,1598571,3731903,2184,1971,36
2024-02-16 00:00,2102629,2355159,1598571,3732156,2672,763,38
2024-02-17 00:00,2106901,2367057,1598571,3732983,3677,681,489
2024-02-18 00:00,2119850,2367057,1609448,3732983,2399,998,39
2024-02-19 00:00,2134068,2367057,1609599,3732983,3149,1950,36
2024-02-20 00:00,2140699,2379202,1609599,3733744,3268,1538,39
2024-02-21 00:00,2147705,2387077,1609599,3737462,2598,2068,42
2024-02-22 00:00,2152673,2397811,1609599,3738359,2367,1035,38
2024-02-23 00:00,2156694,2405374,1609599,3742037,3278,210,39
2024-02-24 00:00,2165590,2421043,1609599,3744104,3448,766,665
2024-02-25 00:00,2188131,2421043,1612459,3744104,2268,1978,30
2024-02-26 00:00,2208292,2421043,1614283,3744104,2447,2573,39
2024-02-27 00:00,2217687,2434772,1614283,3744235,2054,864,40
2024-02-28 00:00,2225935,2445397,1614283,3750594,2444,1820,37
2024-02-29 00:00,2234256,2455026,1614283,3752133,2104,2535,36
2024-03-01 00:00,2240600,2465188,1614283,3753127,3806,555,32
2024-03-02 00:00,2245667,2473787,1614283,3767852,2262,895,34
2024-03-03 00:00,2253959,2473787,1631685,3767852,982,2534,38
2024-03-04 00:00,2260258,2473787,1654239,3767852,3938,2502,51
2024-03-05 00:00,2263910,2486597,1654239,3768777,2194,1342,36
2024-03-06 00:00,2268870,2501634,1654239,3768777,2171,2078,38
2024-03-07 00:00,2276976,2511013,1654239,3777440,2160,3743,35
2024-03-08 00:00,2286100,2525965,1654239,3778986,3887,319,38
2024-03-09 00:00,2297210,2534318,1654239,3805237,2499,1220,36
2024-03-10 00:00,2311233,2534318,1672184,3805237,2051,565,35
2024-03-11 00:00,2326567,2534318,1687099,3805237,2169,795,37
2024-03-12 00:00,2333418,2542912,1687099,3807064,2077,905,41
2024-03-13 00:00,2338833,2552303,1687099,3807795,2381,894,37
2024-03-14 00:00,2346260,2559382,1687099,3809117,2258,1415,41
2024-03-15 00:00,2349954,2564827,1687099,3822720,2883,2975,35
2024-03-16 00:00,2353248,2571297,1687099,3830302,2936,1383,118
